35798,40903;;BEST;WORST;AVG;STD
37577,79956;;34548;42045;37469;1405
37979,05431;;;;;
36136,26787;;;;;
39105,17378;;;;;
39350,83754;;;;;
35009,69095;;;;;
37559,90595;;;;;
35084,59599;;;;;
36747,93465;;;;;
37452,00453;;;;;
35782,02192;;;;;
36628,28271;;;;;
37253,01676;;;;;
38037,77146;;;;;
36123,17472;;;;;
37124,76848;;;;;
36656,81713;;;;;
36518,59298;;;;;
38996,4682;;;;;
38517,07435;;;;;
37572,42248;;;;;
37539,26155;;;;;
35803,10015;;;;;
38177,372;;;;;
35695,38194;;;;;
35969,38332;;;;;
38280,4789;;;;;
36595,68234;;;;;
37150,555;;;;;
37089,9148;;;;;
36225,48456;;;;;
37022,60971;;;;;
37454,27693;;;;;
37867,15693;;;;;
36670,86725;;;;;
35113,9235;;;;;
38661,91563;;;;;
38185,37491;;;;;
36658,69077;;;;;
37239,46317;;;;;
37295,73058;;;;;
38519,54114;;;;;
36099,99331;;;;;
36948,95538;;;;;
36233,51658;;;;;
38966,83233;;;;;
37300,46365;;;;;
35892,78177;;;;;
37715,0645;;;;;
35906,58945;;;;;
37436,8168;;;;;
35790,60657;;;;;
39524,08503;;;;;
37025,03959;;;;;
41959,71566;;;;;
36752,75309;;;;;
37789,2568;;;;;
38056,33951;;;;;
37460,99221;;;;;
35185,08714;;;;;
37653,90307;;;;;
36034,51043;;;;;
39025,04976;;;;;
38354,88161;;;;;
36292,56998;;;;;
36891,99163;;;;;
37563,68691;;;;;
37873,11949;;;;;
38322,20014;;;;;
38241,54874;;;;;
37568,29867;;;;;
37985,85859;;;;;
36812,97964;;;;;
40570,89109;;;;;
38340,05535;;;;;
37947,87008;;;;;
34547,69068;;;;;
38392,3441;;;;;
37534,88801;;;;;
37012,668;;;;;
34547,69068;;;;;
40965,91014;;;;;
36936,12118;;;;;
35888,60991;;;;;
41544,46698;;;;;
36648,15935;;;;;
39030,01281;;;;;
38281,06293;;;;;
38054,06527;;;;;
38375,38137;;;;;
36684,35649;;;;;
36650,00841;;;;;
39715,48915;;;;;
39647,39784;;;;;
37565,86661;;;;;
37405,87694;;;;;
40834,06677;;;;;
36605,94569;;;;;
36906,30997;;;;;
36861,38611;;;;;
38436,56379;;;;;
38096,0422;;;;;
36741,64931;;;;;
38470,2282;;;;;
36596,24739;;;;;
37325,18246;;;;;
36897,66286;;;;;
39360,8719;;;;;
36006,21904;;;;;
35788,97884;;;;;
39279,08631;;;;;
38987,81154;;;;;
40762,82619;;;;;
35712,51195;;;;;
36029,13194;;;;;
35687,87576;;;;;
35312,02926;;;;;
36924,36853;;;;;
39435,09226;;;;;
36048,48821;;;;;
36094,6749;;;;;
38042,91673;;;;;
35899,10053;;;;;
37417,15536;;;;;
36717,94406;;;;;
37370,61162;;;;;
37723,22976;;;;;
37236,45496;;;;;
38320,59187;;;;;
37773,97646;;;;;
35814,13787;;;;;
39024,99238;;;;;
37568,74055;;;;;
37266,16097;;;;;
35218,87298;;;;;
38479,58753;;;;;
35860,89169;;;;;
40200,38204;;;;;
37719,39762;;;;;
37886,17173;;;;;
37833,70698;;;;;
37399,56402;;;;;
38278,78071;;;;;
37290,33323;;;;;
37567,97739;;;;;
36007,92188;;;;;
36787,95559;;;;;
36536,00732;;;;;
39355,57365;;;;;
36979,71362;;;;;
42045,19012;;;;;
36306,83181;;;;;
37659,00285;;;;;
37517,48062;;;;;
36919,45254;;;;;
39210,65049;;;;;
37815,37485;;;;;
36769,65479;;;;;
36878,38422;;;;;
37535,66933;;;;;
38649,07744;;;;;
36518,39907;;;;;
38361,69465;;;;;
37437,40096;;;;;
37348,1795;;;;;
37542,2978;;;;;
40817,7866;;;;;
37501,73591;;;;;
36449,75574;;;;;
37873,72641;;;;;
36203,05241;;;;;
37950,52658;;;;;
35557,48973;;;;;
36748,61622;;;;;
39042,93068;;;;;
36753,57158;;;;;
41992,65071;;;;;
36645,31258;;;;;
36975,77238;;;;;
37508,71649;;;;;
38632,11533;;;;;
37447,94839;;;;;
35210,77767;;;;;
41089,97502;;;;;
37443,64732;;;;;
39365,2819;;;;;
36168,00973;;;;;
38055,32953;;;;;
36879,27632;;;;;
36026,36993;;;;;
36765,09023;;;;;
37701,52181;;;;;
36111,37842;;;;;
39077,32831;;;;;
38624,24067;;;;;
36852,34671;;;;;
36119,34812;;;;;
35773,58026;;;;;
37941,66109;;;;;
